Wavelength Filter
5930 0.2570284566642983
5940 0.36856730432307205
5950 0.5000000000002796
5960 0.6417129487816817
5970 0.7791645796606567
5980 0.8950250709280525
5990 0.9726549474123073
6000 1.0
6010 0.9726549474123073
6020 0.8950250709280525
6030 0.7791645796606567
6040 0.6417129487816817
6050 0.5000000000002796
6060 0.36856730432307205
6070 0.2570284566642983
6080 0.16957554093120172
6090 0.10584316404550762
6100 0.06250000000013978
6110 0.034915223064851356
6120 0.018453010334895843
6130 0.009226505167453079
6140 0.004364402883113739
6150 0.001953125000009829
6160 0.0008268997191087651
6170 0.0003312022283829202
6180 0.00012550217610638622
6190 4.4991126016326995e-05
